catalog_id,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-1361-4916,European Review of Economic History,1361-4916,1474-0044,1361-4916;1474-0044,,Business History,,,94,3,105,B,,
issn-1468-2672,European Sociological Review,1468-2672,,1468-2672,,Social Sciences,,,1702,3,,,,
issn-1618-4742,European Sport Management Quarterly,1618-4742,1746-031X,1618-4742;1746-031X,,"Tourism, Hospitality & Transportation",,,1579,3,1117,B,,
issn-0969-7764,European Urban and Regional Studies,0969-7764,1461-7145,0969-7764;1461-7145,,"Regional, Environmental & Resource Studies",,,1546,3,78,B,,
issn-1530-9304,Evolutionary Computation,1530-9304,,1530-9304,,Operations & Management Science,,,1226,3,,,,
issn-1386-4157,Experimental Economics,1386-4157,1573-6938,1386-4157;1573-6938,,Economics,,,168,3,171,B,,
issn-0014-4983,Explorations in Economic History,0014-4983,1090-2457,0014-4983;1090-2457,,Business History,,,95,3,106,B,,
issn-0894-4865,Family Business Review,0894-4865,1741-6248,0894-4865;1741-6248,,Entrepreneurship & Small Business,,,478,3,217,B,,
issn-0949-2984,Finance and Stochastics,0949-2984,1432-1122,0949-2984;1432-1122,,Finance,,,633,3,243,B,,
issn-1468-0408,Financial Accountability and Management,1468-0408,,1468-0408,,Public Administration & Policy,,,18,3,,,,
issn-0015-198x,Financial Analysts Journal,0015-198X,1938-3312,0015-198X;1938-3312,,Finance,,,634,3,244,B,,
issn-2199-4730,Financial Innovation,2199-4730,,2199-4730,,Finance,,,,,245,B,,
issn-0046-3892,Financial Management,0046-3892,1755-053X,0046-3892;1755-053X,,Finance,,,635,3,246,B,,
issn-1468-0416,"Financial Markets, Institutions and Instruments",1468-0416,,1468-0416,,Finance,,,636,3,,,,
issn-1540-6288,Financial Review,1540-6288,,1540-6288,,Finance,,,637,3,,,,
issn-0306-9192,Food Policy,0306-9192,1873-5657,0306-9192;1873-5657,,Agricultural Economics,,,1580,3,65,B,,
issn-0015-7120,Foreign Affairs,0015-7120,,0015-7120,,International Business & Affairs,,,,,646,B,,
